    INFO: 2025-11-12 18:02:50,440:               log.py:   20: Logging to C:\Users\inetic_test_area\Documents\Drive_dev_code\FFT-executable-tool\mdpdf.log
   DEBUG: 2025-11-12 18:02:50,687:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-12 18:02:50,691:      pdf_renderer.py:  470: printSegment: *_oscillation_plot_polar
   DEBUG: 2025-11-12 18:02:50,698:      pdf_renderer.py:  470: printSegment:  — Same data displayed in polar form, corresponding to the motor’s
   DEBUG: 2025-11-12 18:02:50,746:      pdf_renderer.py:  470: printSegment: rotational plane.
   DEBUG: 2025-11-12 18:02:50,748:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-12 18:02:50,751:      pdf_renderer.py:  470: printSegment: *_spatial_FFT
   DEBUG: 2025-11-12 18:02:50,755:      pdf_renderer.py:  470: printSegment:  — Frequency-domain analysis of spatial oscillations, highlighting harmonic content.
   DEBUG: 2025-11-12 18:02:50,758:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-12 18:02:50,762:      pdf_renderer.py:  470: printSegment: Overlay_*
   DEBUG: 2025-11-12 18:02:50,766:      pdf_renderer.py:  470: printSegment:  — Overlays comparing the 
   DEBUG: 2025-11-12 18:02:50,769:      pdf_renderer.py:  470: printSegment: Syntec
   DEBUG: 2025-11-12 18:02:50,772:      pdf_renderer.py:  470: printSegment:  and 
   DEBUG: 2025-11-12 18:02:50,776:      pdf_renderer.py:  470: printSegment: 085
   DEBUG: 2025-11-12 18:02:50,779:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2025-11-12 18:02:50,783:      pdf_renderer.py:  470: printSegment: 2U
   DEBUG: 2025-11-12 18:02:50,786:      pdf_renderer.py:  470: printSegment:  motor data for direct visual comparison.
   DEBUG: 2025-11-12 18:02:50,790:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-12 18:02:50,792:      pdf_renderer.py:  470: printSegment: Excel files (
   DEBUG: 2025-11-12 18:02:50,795:      pdf_renderer.py:  470: printSegment: .xlsx
   DEBUG: 2025-11-12 18:02:50,798:      pdf_renderer.py:  470: printSegment: )
   DEBUG: 2025-11-12 18:02:50,805:      pdf_renderer.py:  470: printSegment:  — Contain the raw and processed measurement data used for plotting.
   DEBUG: 2025-11-12 18:02:50,807:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-11-12 18:02:50,811:      pdf_renderer.py:  470: printSegment: cogging.py
   DEBUG: 2025-11-12 18:02:50,815:      pdf_renderer.py:  470: printSegment:  — Python script used to parse and analyze data.
   DEBUG: 2025-11-12 18:02:50,822:      pdf_renderer.py:  470: printSegment: Frequency Domain (FFT) Analysis
   DEBUG: 2025-11-12 18:02:50,825:      pdf_renderer.py:  470: printSegment: 085
   DEBUG: 2025-11-12 18:02:50,828:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2025-11-12 18:02:50,832:      pdf_renderer.py:  470: printSegment: 2U Motor — FFT
